Name,Summary,Description,Price tax included,"Image URLs (x, y, z...)",ID,Category,URL rewritten,Quantity,Tax rule
Akademia animatora z promocją zdrowia,"Zdobycie podstawowej wiedzy związanej z pedagogiką, psychologią, socjoterapią, profilaktyką społeczną.","<p>Cel szkolenia:  jest zdobycie podstawowej wiedzy związanej z pedagogiką, psychologią, socjoterapią, profilaktyką społeczną oraz umiejętnościami terapeutycznymi niezbędnymi w pracy z drugim człowiekiem jako animator.</p>
<p>Dodatkowe informacje: Kurs ma charakter doskonalący i pogłębiający kompetencje w tym w zakresie</p>
<p>Szkolenia prowadzone są w trybie indywidualnym, dlatego prowadzimy nabór ciągły (oznacza to, że nie musi zebrać się minimalna liczba uczestników w danym terminie).  Naukę rozpoczynasz w dowolnym czasie i w wybranym przez siebie tempie realizujesz program.</p>
<p>Dokumentacja: Po pozytywnie zrealizowanym szkoleniu wystawiane są dokumenty (zgodnie z zamówieniem) wydane przez firmę szkoleniową oraz Placówkę Kształcenia Ustawicznego (Numer RSPO: 270751).
Na dokumentacji nie ma zapisu o trybie i formie kształcenia.</p>
<p>Po zakupie otrzymujesz materiał w formie PDF.</p>
",799.00zł,"https://www.kursyzdalne.com/wp-content/uploads/2020/12/AKADEMIA-ANIMATORA-Z-PROMOCJA-ZDROWIA.png,https://www.kursyzdalne.com/wp-content/uploads/2020/12/Akademia-Animatora-online.png",1,Akademie online,1-Akademia-animatora-z-promocją-zdrowia,999,1
Akademia kryminologii i kryminalistyki online,"Zdobycie podstawowej wiedzy związanej z kryminologią, kryminalistyką, resocjalizacją oraz prawem.","<p>Cel szkolenia:   jest zdobycie podstawowej wiedzy związanej z kryminologią, kryminalistyką, resocjalizacją oraz prawem.</p>
<p>Dodatkowe informacje: Kurs ma charakter doskonalący i pogłębiający kompetencje w tym w zakresie.</p>
<p>Szkolenia prowadzone są w trybie indywidualnym, dlatego prowadzimy nabór ciągły (oznacza to, że nie musi zebrać się minimalna liczba uczestników w danym terminie).  Naukę rozpoczynasz w dowolnym czasie i w wybranym przez siebie tempie realizujesz program.</p>
<p>Dokumentacja: Po pozytywnie zrealizowanym szkoleniu wystawiane są dokumenty (zgodnie z zamówieniem) wydane przez firmę szkoleniową oraz Placówkę Kształcenia Ustawicznego (Numer RSPO: 270751).
Na dokumentacji nie ma zapisu o trybie i formie kształcenia.</p>
<p>Po zakupie otrzymujesz materiał w formie PDF.</p>
",699.00zł,"https://www.kursyzdalne.com/wp-content/uploads/2020/12/AKADEMIA-KRYMINOLOGII-I-KRYMINALISTYKI.png,https://www.kursyzdalne.com/wp-content/uploads/2020/12/Akademia-podstaw-kryminologii-online.png",2,Akademie online,2-Akademia-kryminologii-i-kryminalistyki-online,999,1
Akademia kuratora sądowego,Naucz się budować i doskonalić kontakty z innymi oraz profesjonalnie im pomagać w trudnościach życiowych…Poznaj wiedzę przydatną do wykonywania funkcji jaką jest społeczny kurator sądowy.,"<p>Szkolenia prowadzone są w trybie indywidualnym, dlatego prowadzimy nabór ciągły (oznacza to, że nie musi zebrać się minimalna liczba uczestników w danym terminie).  Naukę rozpoczynasz w dowolnym czasie i w wybranym przez siebie tempie realizujesz program.</p>
<p>Dokumentacja: Po pozytywnie zrealizowanym szkoleniu wystawiane są dokumenty (zgodnie z zamówieniem) wydane przez firmę szkoleniową oraz Placówkę Kształcenia Ustawicznego (Numer RSPO: 270751).
Na dokumentacji nie ma zapisu o trybie i formie kształcenia.</p>
<p>Po zakupie: otrzymujesz materiał szkoleniowy w formie PDF.</p>
",1199.00zł,"https://www.kursyzdalne.com/wp-content/uploads/2020/12/AKADEMIA-kuratora-spolecznego-grafika.png,https://www.kursyzdalne.com/wp-content/uploads/2020/12/Akademia-kuratora-spolecznego-program.png,https://www.kursyzdalne.com/wp-content/uploads/2020/12/specjalnosci-Akademia-kuratora-spolecznego.png",3,Akademie online,3-Akademia-kuratora-sądowego,999,1
Akademia mediacji i negocjacji online,"Jest zdobycie podstawowej wiedzy związanej z pedagogiką, psychologią, komunikacji, mediacji i negocjacji. ","<p>Cel szkolenia:   jest zdobycie podstawowej wiedzy związanej z pedagogiką, psychologią,  komunikacji, mediacji i negocjacji.  Uczestnik szkolenia zdobędzie również wiedzę z zakresu: resocjalizacji, prawa, psychoprofilaktyki.  Szkolenie wzbogacone jest o kształtowanie kompetencji i umiejętności zawodowych wpływających na proces mediacji i negocjacji. Szkolenie wzbogacone jest o możliwość uzupełnienia podstawowej wiedzy o specjalność: z zakresu mediacji rodzinnej i małżeńskiej.</p>
<p>Dodatkowe informacje: Kurs ma charakter doskonalący i pogłębiający kompetencje w tym w zakresie.</p>
<p>Szkolenia prowadzone są w trybie indywidualnym, dlatego prowadzimy nabór ciągły (oznacza to, że nie musi zebrać się minimalna liczba uczestników w danym terminie).  Naukę rozpoczynasz w dowolnym czasie i w wybranym przez siebie tempie realizujesz program.</p>
<p>Dokumentacja: Po pozytywnie zrealizowanym szkoleniu wystawiane są dokumenty (zgodnie z zamówieniem) wydane przez firmę szkoleniową oraz Placówkę Kształcenia Ustawicznego (Numer RSPO: 270751).
Na dokumentacji nie ma zapisu o trybie i formie kształcenia.</p>
<p>Po zakupie: otrzymujesz materiał szkoleniowy w formie PDF.</p>
",699.00zł,"https://www.kursyzdalne.com/wp-content/uploads/2020/08/AKADEMIA-MEDIACJI-I-NEGOCJACJI.png,https://www.kursyzdalne.com/wp-content/uploads/2020/08/Akademia-mediacji.jpg",4,Akademie online,4-Akademia-mediacji-i-negocjacji-online,999,1
Akademia podstaw pomocy emocjonalnej,"Jeśli pracujesz lub zamierzasz pracować z drugim człowiekiem i chcesz zadbać o podwyższenie lub zdobycie nowych kwalifikacji w zakresie skutecznej pomocy drugiemu człowiekowi – to jesteś w odpowiednim miejscu. Zapisz się na naszą Akademię, która jest całkowicie przez internet i zdobądź podstawy terapeutyczne do pracy z klientem.","<p>Dlaczego pomoc emocjonalna? Powodów jest kilka: zazwyczaj pomoc psychologiczna jest zarezerwowana głównie dla psychologów. Z kolei pomoc pedagogiczna dla pedagogów. W życiu układa się tak, że nie każdy z nas mógł spełniać swoje marzenia i aspiracje podejmując studia z wyżej wymienionych profilów kształcenia.  Wychodzimy zatem z alternatywą w której nasz program szkoleniowy pozwoli Ci na zdobycie podstaw do pomocy emocjonalnej drugiemu człowiekowi.</p>
<p>Dodatkowe informacje: Kurs ma charakter doskonalący i pogłębiający kompetencje w tym w zakresie</p>
<p>Szkolenia prowadzone są w trybie indywidualnym, dlatego prowadzimy nabór ciągły (oznacza to, że nie musi zebrać się minimalna liczba uczestników w danym terminie).  Naukę rozpoczynasz w dowolnym czasie i w wybranym przez siebie tempie realizujesz program.</p>
<p>Dokumentacja: Po pozytywnie zrealizowanym szkoleniu wystawiane są dokumenty (zgodnie z zamówieniem) wydane przez firmę szkoleniową oraz Placówkę Kształcenia Ustawicznego (Numer RSPO: 270751).
Na dokumentacji nie ma zapisu o trybie i formie kształcenia.</p>
<p>Po zakupie otrzymujesz materiał w formie PDF.</p>
",769.00zł,"https://www.kursyzdalne.com/wp-content/uploads/2020/12/AKADEMIA-PODSTAW-POMOCY-EMOCJONALNEJ.png,https://www.kursyzdalne.com/wp-content/uploads/2020/12/Pomoc-emocjonalna-online.png",5,Akademie online,5-Akademia-podstaw-pomocy-emocjonalnej,999,1
Akademia podstaw psychologii i pedagogiki online,Zdobycie podstawowej wiedzy z zakresu psychologii i pedagogiki.,"<p>Cel szkolenia:   zdobycie podstawowej wiedzy z zakresu psychologii i pedagogiki – w tym surdopedagogiki i tyflopedagogiki, podstaw terapii dzieci z niepełnosprawnością intelektualną, zagadnienia psychoonkologii i psychologii sądowej. W szkoleniu zawarto także wiedzę z zakresu diagnostyki i terapii, tematykę profilaktyki i umiejętności zawodowych.</p>
<p>Szkolenie o charakterze doskonalącym</p>
<p>Szkolenia prowadzone są w trybie indywidualnym, dlatego prowadzimy nabór ciągły (oznacza to, że nie musi zebrać się minimalna liczba uczestników w danym terminie).  Naukę rozpoczynasz w dowolnym czasie i w wybranym przez siebie tempie realizujesz program.</p>
<p>Dokumentacja: Po pozytywnie zrealizowanym szkoleniu wystawiane są dokumenty (zgodnie z zamówieniem) wydane przez firmę szkoleniową oraz Placówkę Kształcenia Ustawicznego (Numer RSPO: 270751).
Na dokumentacji nie ma zapisu o trybie i formie kształcenia.</p>
<p>Po zakupie: otrzymujesz materiał szkoleniowy w formie PDF.</p>
",449.00zł,"https://www.kursyzdalne.com/wp-content/uploads/2020/10/Akademia-podstaw-psychologii-i-pedagogiki-.png,https://www.kursyzdalne.com/wp-content/uploads/2020/10/Akademia-psychologiczna-program-724x1024-1.png",6,Akademie online,6-Akademia-podstaw-psychologii-i-pedagogiki-online,999,1
Akademia podstaw psychologii online," Jest nabycie wiedzy z najważniejszych działów psychologii m.in.: zakresu psychologii poznawczej, społecznej, rozwojowej.","<p>Cel szkolenia:  jest nabycie wiedzy z najważniejszych działów psychologii m.in.: zakresu psychologii poznawczej, społecznej, rozwojowej. Uczestnik szkolenia dowie się jak działa nasza pamięć oraz świadomość. Uczestnik szkolenia nabędzie umiejętności radzenia sobie ze stresem oraz emocjami. Zdobędzie wiedzę na temat komunikacji, inteligencji, osobowości i rozwoju człowieka. Pozna najczęstsze zaburzenia psychiczne oraz podstawowe metody terapii zaburzeń.</p>
<p>Dodatkowe informacje: Kurs ma charakter doskonalący i pogłębiający kompetencje w tym w zakresie.</p>
<p>Szkolenia prowadzone są w trybie indywidualnym, dlatego prowadzimy nabór ciągły (oznacza to, że nie musi zebrać się minimalna liczba uczestników w danym terminie).  Naukę rozpoczynasz w dowolnym czasie i w wybranym przez siebie tempie realizujesz program.</p>
<p>Dokumentacja: Po pozytywnie zrealizowanym szkoleniu wystawiane są dokumenty (zgodnie z zamówieniem) wydane przez firmę szkoleniową oraz Placówkę Kształcenia Ustawicznego (Numer RSPO: 270751).
Na dokumentacji nie ma zapisu o trybie i formie kształcenia.</p>
<p>Po zakupie: otrzymujesz materiał szkoleniowy w formie PDF.</p>
",599.00zł,"https://www.kursyzdalne.com/wp-content/uploads/2020/08/AKADEMIA-PODSTAW-PSYCHOLOGII.png,https://www.kursyzdalne.com/wp-content/uploads/2020/08/PodstawypsychologiiAkademia.png",7,Akademie online,7-Akademia-podstaw-psychologii-online,999,1
Akademia podstaw psychosomatyki,Wiedza z podstaw psychosomatyki i somatopsychologii oraz psychotraumatologii.,"<p>Cel szkolenia:   zdobycie wiedzy i umiejętności z zakresu podstaw psychosomatyki i somatopsychologii oraz psychotraumatologii.</p>
<p>Dodatkowe informacje: Szkolenie o charakterze doskonalącym.</p>
<p>Szkolenia prowadzone są w trybie indywidualnym, dlatego prowadzimy nabór ciągły (oznacza to, że nie musi zebrać się minimalna liczba uczestników w danym terminie).  Naukę rozpoczynasz w dowolnym czasie i w wybranym przez siebie tempie realizujesz program.</p>
<p>Dokumentacja: Po pozytywnie zrealizowanym szkoleniu wystawiane są dokumenty (zgodnie z zamówieniem) wydane przez firmę szkoleniową oraz Placówkę Kształcenia Ustawicznego (Numer RSPO: 270751).
Na dokumentacji nie ma zapisu o trybie i formie kształcenia.</p>
<p>Po zakupie otrzymujesz materiał w formie PDF.</p>
",599.00zł,"https://www.kursyzdalne.com/wp-content/uploads/2020/12/Akademia-Somatopsychologii.png,https://www.kursyzdalne.com/wp-content/uploads/2020/12/AKADEMIA-PODSTAW-PSYCHOSOMATYKI-I-SOMATOPSYCHOLOGII-program.png",8,Akademie online,8-Akademia-podstaw-psychosomatyki,999,1
Akademia pomocy psychopedagogicznej online,"Jest zdobycie podstawowej wiedzy związanej z pedagogiką, psychologią, socjoterapią, resocjalizacją, profilaktyką społeczną.","<p>Cel szkolenia:  jest zdobycie podstawowej wiedzy związanej z pedagogiką, psychologią, socjoterapią, resocjalizacją, profilaktyką społeczną oraz umiejętnościami terapeutycznymi niezbędnymi w pracy z drugim człowiekiem – głównie z osobami niedostosowanymi społecznie.</p>
<p>Dodatkowe informacje: Kurs ma charakter doskonalący i pogłębiający kompetencje w tym w zakresie.</p>
<p>Szkolenia prowadzone są w trybie indywidualnym, dlatego prowadzimy nabór ciągły (oznacza to, że nie musi zebrać się minimalna liczba uczestników w danym terminie).  Naukę rozpoczynasz w dowolnym czasie i w wybranym przez siebie tempie realizujesz program.</p>
<p>Dokumentacja: Po pozytywnie zrealizowanym szkoleniu wystawiane są dokumenty (zgodnie z zamówieniem) wydane przez firmę szkoleniową oraz Placówkę Kształcenia Ustawicznego (Numer RSPO: 270751).
Na dokumentacji nie ma zapisu o trybie i formie kształcenia.</p>
<p>Po zakupie: otrzymujesz materiał szkoleniowy w formie PDF.</p>
",629.00zł,"https://www.kursyzdalne.com/wp-content/uploads/2020/08/AKADEMIA-POMOCY-PSYCHOPEDAGOGICZNEJ-NIEDOSTOSOWANYM-SPOŁECZNIE.png,https://www.kursyzdalne.com/wp-content/uploads/2020/08/PPomocpsychope.png",9,Akademie online,9-Akademia-pomocy-psychopedagogicznej-online,999,1
Akademia profesjonalnego opiekuna online,"Jest zdobycie podstawowej wiedzy związanej z pedagogiką, psychologią, tematyką opieki, zdrowia, pielęgnacji oraz z umiejętnościami terapeutycznymi niezbędnymi w pracy z drugim człowiekiem","<p>Cel szkolenia:   jest zdobycie podstawowej wiedzy związanej z pedagogiką, psychologią, tematyką opieki, zdrowia, pielęgnacji oraz z umiejętnościami terapeutycznymi niezbędnymi w pracy z drugim człowiekiem. Szkolenie wzbogacone jest o możliwość uzupełnienia podstawowej wiedzy o specjalność: opieka nad dzieckiem, opieka nad osobą starszą, opieka nad osobą niepełnosprawną, opieka nad dzieckiem z zaburzeniami neurororozwojowymi.</p>
<p>Dodatkowe informacje: Kurs ma charakter doskonalący i pogłębiający kompetencje w tym w zakresie. Nie nadaje uprawnień do bycia terapeutą.</p>
<p>Szkolenia prowadzone są w trybie indywidualnym, dlatego prowadzimy nabór ciągły (oznacza to, że nie musi zebrać się minimalna liczba uczestników w danym terminie).  Naukę rozpoczynasz w dowolnym czasie i w wybranym przez siebie tempie realizujesz program.</p>
<p>Dokumentacja: Po pozytywnie zrealizowanym szkoleniu wystawiane są dokumenty (zgodnie z zamówieniem) wydane przez firmę szkoleniową oraz Placówkę Kształcenia Ustawicznego (Numer RSPO: 270751).
Na dokumentacji nie ma zapisu o trybie i formie kształcenia.</p>
<p>Po zakupie: otrzymujesz materiał szkoleniowy w formie PDF.</p>
",649.00zł,"https://www.kursyzdalne.com/wp-content/uploads/2020/08/AKADEMIA-PROFESJONALNEGO-OPIEKUNA.png,https://www.kursyzdalne.com/wp-content/uploads/2020/08/Akademia-opiekun-pro.jpg",10,Akademie online,10-Akademia-profesjonalnego-opiekuna-online,999,1
